Year,County,City,Population,Total Offenses
2013,El Paso County,El Paso,838966,21096
2013,Hudspeth,El Paso,3305,26
2014,El Paso County,El Paso,839969,19713
2014,Hudspeth,El Paso,3304,23
2015,El Paso County,El Paso,841774,18315
2015,Hudspeth,El Paso,3158,27
2016,El Paso County,El Paso,838465,17420
2016,Hudspeth,El Paso,3354,16
2017,El Paso County,El Paso,842905,17275
2017,Hudspeth,El Paso,4166,3
2018,El Paso County,El Paso,843458,14857
2018,Hudspeth,El Paso,4558,35
2019,El Paso County,El Paso,840222,14693
2019,Hudspeth,El Paso,4972,22
2020,El Paso County,El Paso,840442,12272
2020,Hudspeth,El Paso,5068,17
2021,El Paso County,El Paso,836739,11906
2021,Hudspeth,El Paso,5037,16
2022,El Paso County,El Paso,875027,13708
2022,Hudspeth,El Paso,3401,2
