Year,Agency,,Population,,Murder,,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,,Total,Months,
2016,County Totals - AUSTIN COUNTY,,,,,,,,,,,,,,,
,Population,,29718,,,,,,,,,,,,,
,Number Offenses,,,,,,,,,,,,,466,,
,,,,,,,,,,,,,,,,
,Number Clearances,,,,,,,,,,,,,,,
,Percent Cleared,,,,,,,,,,,,,,,
,Number of Arrests,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - BRAZORIA COUNTY,,,,,,,,,,,,,,,
,Population,,358003,,,,,,,,,,,,,
,Number Offenses,,,,8,,108,155,395,996,4427,390,,6479,,
,"Rate Per 100,000",,,,2.2,,30.2,43.3,110.3,278.2,1236.6,108.9,,,,
,Number Clearances,,,,9,,54,67,314,246,1504,102,,,,
,Percent Cleared,,,,113,,50,44,80,25,34,27,,,,
,Number of Arrests,,,,4,,11,67,213,137,1163,65,,,,
,,,,,,,,,,,,,,,,
,County Totals - CHAMBERS COUNTY,,,,,,,,,,,,,,,
,Population,,35244,,,,,,,,,,,,,
,Number Offenses,,,,3,,19,18,109,149,621,76,,995,,
,"Rate Per 100,000",,,,8.5,,53.9,51.1,309.3,422.8,1762,215.6,,,,
,Number Clearances,,,,5,,12,15,100,129,462,59,,,,
,Percent Cleared,,,,167,,64,84,92,87,75,78,,,,
,Number of Arrests,,,,3,,1,4,146,24,146,22,,,,
,,,,,,,,,,,,,,,,
,County Totals - FORT BEND COUNTY,,,,,,,,,,,,,,,
,Population,,702338,,,,,,,,,,,,,
,Number Offenses,,,,29,,157,313,749,1998,6643,549,,10438,,
,"Rate Per 100,000",,,,4.1,,22.4,44.6,106.6,284.5,945.8,78.2,,,,
,Number Clearances,,,,27,,81,124,503,294,1366,94,,,,
,Percent Cleared,,,,94,,52,40,68,15,21,18,,,,
,Number of Arrests,,,,15,,3,86,180,210,809,92,,,,
,,,,,,,,,,,,,,,,
,County Totals - GALVESTON COUNTY,,,,,,,,,,,,,,,
,Population,,340859,,,,,,,,,,,,,
,Number Offenses,,,,19,,214,241,531,1617,6590,632,,9844,,
,"Rate Per 100,000",,,,5.6,,62.8,70.7,155.8,474.4,1933.4,185.4,,,,
,Number Clearances,,,,14,,83,86,290,238,1396,160,,,,
,Percent Cleared,,,,74,,39,36,55,15,22,26,,,,
,Number of Arrests,,,,9,,33,134,733,232,1525,130,,,,
,,,,,,,,,,,,,,,,
,County Totals - HARRIS COUNTY,,,,,,,,,,,,,,,
,Population,,4646498,,,,,,,,,,,,,
,Number Offenses,,,,409,,2020,13656,18729,30224,112162,20491,,197691,,
,"Rate Per 100,000",,,,8.8,,43.5,293.9,403.1,650.5,2413.9,441,,,,
,Number Clearances,,,,229,,754,2474,8550,1865,12639,1456,,,,
,Percent Cleared,,,,56,,38,19,46,7,12,8,,,,
,Number of Arrests,,,,223,,274,1917,3352,1564,11930,976,,,,
,,,,,,,,,,,,,,,,
,County Totals - LIBERTY COUNTY,,,,,,,,,,,,,,,
,Population,,80209,,,,,,,,,,,,,
,Number Offenses,,,,4,,51,24,227,381,1140,178,,2005,,
,"Rate Per 100,000",,,,5,,63.6,29.9,283,475,1421.3,221.9,,,,
,Number Clearances,,,,3,,11,10,152,42,338,33,,,,
,Percent Cleared,,,,75,,22,42,67,11,30,19,,,,
,Number of Arrests,,,,3,,6,10,56,33,208,20,,,,
,,,,,,,,,,,,,,,,
,County Totals - MONTGOMERY COUNTY,,,,,,,,,,,,,,,
,Population,,547297,,,,,,,,,,,,,
,Number Offenses,,,,12,,104,199,559,1505,5735,702,,8816,,
,"Rate Per 100,000",,,,2.2,,19,36.4,102.1,275,1047.9,128.3,,,,
,Number Clearances,,,,8,,23,39,270,67,684,48,,,,
,Percent Cleared,,,,67,,23,20,49,5,12,7,,,,
,Number of Arrests,,,,5,,13,43,219,88,657,52,,,,
,,,,,,,,,,,,,,,,
,County Totals - WALLER COUNTY,,,,,,,,,,,,,,,
,Population,,48644,,,,,,,,,,,,,
,Number Offenses,,,,1,,33,18,110,220,412,48,,842,,
,"Rate Per 100,000",,,,2.1,,67.8,37,226.1,452.3,847,98.7,,,,
,Number Clearances,,,,1,,5,2,52,18,39,13,,,,
,Percent Cleared,,,,100,,16,12,48,9,10,28,,,,
,Number of Arrests,,,,1,,3,3,66,18,47,10,,,,
